明日は雨が降るかもしれません; It might rain tomorrow.
ニューヨークの冬はとても寒いかもしれません; New York winters might be very cold.
あのレストランの料理は高いかもしれません; The food at that restaurant might be expensive.
セントラルパークでコンサートがあるかもしれません; There might be a concert in Central Park.
彼は仕事で忙しいかもしれません; He might be busy with work.
この電車は遅れるかもしれません; This train might be delayed.
ジョンさんは日本語が上手かもしれません; John might be good at Japanese.
あの美術館は月曜日に閉まっているかもしれません; That museum might be closed on Mondays.
宿題を忘れたかもしれません; I might have forgotten my homework.
ニューヨークの地下鉄は複雑かもしれません; The New York subway might be complicated.
テストは難しくなかったかもしれません; The test might not have been difficult.
彼女は図書館にいるかもしれません; She might be in the library.
タイムズスクエアでイベントがあるかもしれません; There might be an event in Times Square.
この本は面白いかもしれません; This book might be interesting.
コーヒーが冷めてしまったかもしれません; The coffee might have gotten cold.
あの店は今日は休みかもしれません; That store might be closed today.
バスの中に財布を忘れたかもしれません; I might have left my wallet on the bus.
今夜、雪が積もるかもしれません; Snow might accumulate tonight.
彼のパソコンが壊れているかもしれません; His computer might be broken.
メトロポリタン美術館は混んでいるかもしれません; The Metropolitan Museum of Art might be crowded.
私は風邪をひいたかもしれません; I might have caught a cold.
あの新しい映画はつまらないかもしれません; That new movie might be boring.
飛行機のチケットが高いかもしれません; The airplane ticket might be expensive.
自由の女神像に行く時間がないかもしれません; I might not have time to go to the Statue of Liberty.
彼はもう家に帰ったかもしれません; He might have already gone home.
この道は危ないかもしれません; This road might be dangerous.
カフェに傘を忘れたかもしれません; I might have left my umbrella at the cafe.
明日のパーティーに来られないかもしれません; I might not be able to come to the party tomorrow.
このスープは塩辛いかもしれません; This soup might be salty.
ニューヨークの夏は蒸し暑いかもしれません; New York summers might be humid.
電車の事故で遅刻するかもしれません; I might be late because of a train accident.
彼の答えは正しくないかもしれません; His answer might not be correct.
あのビルの展望台は閉まっているかもしれません; The observatory in that building might be closed.
私は約束の時間を間違えたかもしれません; I might have mistaken the time of the appointment.
このケーキは甘すぎるかもしれません; This cake might be too sweet.
ブロードウェイのチケットが売り切れかもしれません; The Broadway tickets might be sold out.
彼女はそのニュースを知らないかもしれません; She might not know that news.
エンパイアステートビルからの景色は良くないかもしれません; The view from the Empire State Building might not be good.
私はレポートを提出し忘れたかもしれません; I might have forgotten to submit the report.
あのカバンは重いかもしれません; That bag might be heavy.
彼はプロジェクトを終わらせたかもしれません; He might have finished the project.
この薬は効果がないかもしれません; This medicine might not be effective.
ロックフェラーセンターのスケートリンクは空いているかもしれません; The skating rink at Rockefeller Center might be empty.
会議が始まっているかもしれません; The meeting might have already started.
彼らの結婚式に招待されていないかもしれません; I might not be invited to their wedding.
このジュースは新鮮ではないかもしれません; This juice might not be fresh.
地下鉄で財布を盗まれたかもしれません; My wallet might have been stolen on the subway.
あのレストランは予約が必要かもしれません; That restaurant might require a reservation.
彼の話は本当かもしれません; His story might be true.
