図書館はどこですか。; Where is the library?
スーパーはどこにありますか。; Where is the supermarket?
トイレはどこですか。; Where is the restroom?
エンパイア・ステート・ビルディングはどこにありますか。; Where is the Empire State Building?
銀行はあそこです。; The bank is over there.
駅はここです。; The station is here.
あなたの家はどちらですか。; Which way is your house?
セントラル・パークは近くですか。; Is Central Park near?
コンビニは遠いですか。; Is the convenience store far?
カフェはあのビルの中です。; The cafe is inside that building.
デパートは駅の前です。; The department store is in front of the station.
郵便局は病院の隣です。; The post office is next to the hospital.
ブロードウェイはニューヨークにあります。; Broadway is in New York.
あの有名な美術館はどこですか。; Where is that famous museum?
マンハッタンはこちらですか。; Is Manhattan this way?
地下鉄の駅はどこですか。; Where is the subway station?
タイムズスクエアへはどう行きますか。; How do I get to Times Square?
ここから自由の女神は遠いですか。; Is the Statue of Liberty far from here?
あのレストランはどこですか。; Where is that restaurant?
スターバックスは角にあります。; Starbucks is on the corner.
学校は公園の向かいです。; The school is across from the park.
ホテルは空港の近くですか。; Is the hotel near the airport?
あの高いビルは何ですか。; What is that tall building?
図書館は右です。; The library is to the right.
左に本屋があります。; There is a bookstore to the left.
わたしの車は駐車場にあります。; My car is in the parking lot.
カフェテリアは一階です。; The cafeteria is on the first floor.
ジョンさんのアパートはどこですか。; Where is John's apartment?
ニューヨーク大学はこの辺りですか。; Is New York University around here?
ここは五番街ですか。; Is this Fifth Avenue?
地下鉄はあの信号の下です。; The subway is under that traffic light.
グリニッジ・ビレッジはどこですか。; Where is Greenwich Village?
あの店はどこにありますか。; Where is that store?
スカイラインはとてもきれいですね。; The skyline is very beautiful, isn't it?
ブルックリン橋はあちらです。; The Brooklyn Bridge is over there.
このバスはグラウンド・ゼロへ行きますか。; Does this bus go to Ground Zero?
ロックフェラー・センターへはどう行きますか。; How do I get to Rockefeller Center?
あの白い建物は市役所ですか。; Is that white building the city hall?
最寄りの駅はどこですか。; Where is the nearest station?
モダンアート美術館はどこですか。; Where is the Museum of Modern Art?
ここからメトロポリタン美術館は歩いて行けますか。; Can I walk to the Metropolitan Museum of Art from here?
カーネギー・ホールはどの辺ですか。; Whereabouts is Carnegie Hall?
アポロ・シアターは125丁目にあります。; The Apollo Theater is on 125th Street.
ユニオン・スクエアは14丁目にあります。; Union Square is on 14th Street.
地下鉄の入口はどこですか。; Where is the subway entrance?
ウォール街はマンハッタンにあります。; Wall Street is in Manhattan.
ここはセントラル・パークの西側ですか。; Is this the west side of Central Park?
あの大きな公園は何という名前ですか。; What is the name of that big park?
コロンビア大学へ行きたいです。; I want to go to Columbia University.
アメリアさんのオフィスはどこですか。; Where is Amelia's office?
高島先生のクラスはどの教室ですか。; Which classroom is Professor Takashima's class in?
ジムはプールの隣です。; The gym is next to the pool.
ここはワールドトレードセンター跡地ですか。; Is this the site of the World Trade Center?
